Epoch	MAE	Validation MAE
1	18.511524200439453	18.04191017150879
2	17.68264389038086	17.089603424072266
3	16.75789451599121	16.797571182250977
4	16.039783477783203	16.00670051574707
5	15.615944862365723	15.132648468017578
6	15.354419708251953	15.168566703796387
7	15.164436340332031	14.932299613952637
8	15.006463050842285	14.844704627990723
9	14.908744812011719	14.649669647216797
10	14.799728393554688	15.159684181213379
11	14.745895385742188	14.315821647644043
12	14.655598640441895	14.67021656036377
13	14.563589096069336	15.220643043518066
14	14.475686073303223	14.679186820983887
15	14.415946006774902	13.892580032348633
16	14.365882873535156	14.352486610412598
17	14.323465347290039	14.043105125427246
18	14.281332015991211	14.232309341430664
19	14.22110366821289	14.220257759094238
20	14.211996078491211	14.261343955993652
21	14.138949394226074	14.01933479309082
22	14.106155395507812	14.876687049865723
23	14.119074821472168	14.01392936706543
24	14.05427074432373	13.722601890563965
25	14.063027381896973	13.470185279846191
26	14.033080101013184	13.724776268005371
27	13.967827796936035	13.568962097167969
28	14.004242897033691	14.757342338562012
29	13.946488380432129	13.974236488342285
30	13.971721649169922	14.165289878845215
31	13.940691947937012	13.49509334564209
32	13.917311668395996	15.442606925964355
33	13.932413101196289	14.118916511535645
34	13.895130157470703	13.856067657470703
35	13.87207317352295	13.810507774353027
36	13.861103057861328	14.096213340759277
37	13.89533805847168	13.690251350402832
38	13.848237991333008	13.975956916809082
39	13.834457397460938	13.895763397216797
40	13.83990478515625	14.034065246582031
41	13.832537651062012	13.809539794921875
42	13.827067375183105	14.902400016784668
43	13.863540649414062	14.336033821105957
44	13.843684196472168	13.542840957641602
45	13.824359893798828	13.418527603149414
46	13.822305679321289	14.3615083694458
47	13.81075382232666	13.535463333129883
48	13.794418334960938	13.841816902160645
49	13.77253246307373	13.059024810791016
50	13.785663604736328	14.239311218261719
51	13.746018409729004	14.055168151855469
52	13.742911338806152	13.946910858154297
53	13.721654891967773	13.27942943572998
54	13.733973503112793	13.524693489074707
55	13.715015411376953	13.996142387390137
56	13.703058242797852	14.062026023864746
57	13.708454132080078	14.2399263381958
58	13.67152214050293	13.658757209777832
59	13.65192985534668	13.657561302185059
60	13.648681640625	13.620022773742676
61	13.65103816986084	13.601530075073242
62	13.66426944732666	13.561209678649902
63	13.661733627319336	14.368914604187012
64	13.626497268676758	13.502534866333008
65	13.621650695800781	13.72773551940918
66	13.60886001586914	13.265336990356445
67	13.577865600585938	13.682502746582031
68	13.590598106384277	13.200482368469238
69	13.560958862304688	13.125678062438965
70	13.54270076751709	13.424700736999512
71	13.536382675170898	13.494502067565918
72	13.491331100463867	14.046060562133789
73	13.525969505310059	13.516989707946777
74	13.522298812866211	13.001886367797852
75	13.462032318115234	13.895692825317383
76	13.476511001586914	12.841462135314941
77	13.475285530090332	13.609152793884277
78	13.443613052368164	13.675023078918457
79	13.410167694091797	13.403231620788574
80	13.430654525756836	12.878280639648438
81	13.371928215026855	13.435335159301758
82	13.386418342590332	12.913780212402344
83	13.407367706298828	13.395914077758789
84	13.367512702941895	12.815837860107422
85	13.329567909240723	13.336443901062012
86	13.298641204833984	13.446744918823242
87	13.295605659484863	13.096420288085938
88	13.252401351928711	13.158819198608398
89	13.27327823638916	13.247862815856934
90	13.23419189453125	12.481929779052734
91	13.201171875	13.155134201049805
92	13.172842025756836	13.48981761932373
93	13.15185260772705	13.67458724975586
94	13.1722993850708	12.727090835571289
95	13.13506031036377	13.755434036254883
96	13.139825820922852	12.81926155090332
97	13.109916687011719	12.626559257507324
98	13.09383773803711	12.69971752166748
99	13.082003593444824	12.558648109436035
100	13.031362533569336	13.396105766296387
