Epoch	Loss	Validation Loss
1	564.239501953125	534.1723022460938
2	508.3950500488281	488.1809387207031
3	468.8583068847656	458.0209045410156
4	445.578125	437.91668701171875
5	433.3393859863281	429.2458801269531
6	424.1856994628906	421.0152282714844
7	418.3805847167969	411.2290954589844
8	413.06866455078125	408.1167297363281
9	409.2745056152344	404.0705261230469
10	405.4913330078125	405.9988098144531
11	402.7532958984375	397.82720947265625
12	399.32513427734375	399.3114013671875
13	396.552001953125	402.5907287597656
14	393.9691162109375	390.1855773925781
15	391.33050537109375	388.1036071777344
16	389.7587585449219	385.3388671875
17	388.3451843261719	386.64886474609375
18	386.7605285644531	386.32708740234375
19	384.8282470703125	383.78961181640625
20	383.52813720703125	382.6181335449219
21	382.348388671875	379.4981384277344
22	380.7374572753906	385.1371765136719
23	380.9359436035156	385.3381042480469
24	379.54010009765625	381.3826599121094
25	379.4952087402344	379.7440185546875
26	378.41802978515625	375.1110534667969
27	376.74267578125	375.673095703125
28	377.4586486816406	392.6027526855469
29	375.7811279296875	373.10693359375
30	376.7200927734375	376.9774169921875
31	375.44000244140625	380.1064147949219
32	375.3120422363281	405.7315368652344
33	374.954833984375	375.8970947265625
34	374.71063232421875	369.8875427246094
35	373.533447265625	376.45806884765625
36	373.5484313964844	371.4158020019531
37	374.3014831542969	371.3138732910156
38	373.5845642089844	370.1062316894531
39	373.02581787109375	366.712158203125
40	373.0078430175781	387.4817199707031
41	373.2898864746094	366.08111572265625
42	373.2688293457031	386.609130859375
43	373.1626892089844	376.9772644042969
44	372.8953857421875	370.3504943847656
45	372.40594482421875	368.4252014160156
46	372.2160949707031	375.51025390625
47	372.10809326171875	367.7873840332031
48	371.4264831542969	368.6567077636719
49	372.0241394042969	375.3921813964844
50	371.40643310546875	376.6161193847656
51	370.6217041015625	367.4355773925781
52	370.1192321777344	370.51702880859375
53	369.6783447265625	369.51824951171875
54	370.316162109375	366.6983337402344
55	369.5495910644531	367.7393493652344
56	369.38201904296875	368.6087341308594
57	369.1586608886719	370.75738525390625
58	369.00341796875	367.6299743652344
59	368.3966979980469	374.3197326660156
60	368.0779113769531	372.00079345703125
61	368.4808349609375	370.8957824707031
62	368.5484619140625	364.69580078125
63	368.1717224121094	377.5540466308594
64	368.072021484375	372.05908203125
65	367.82550048828125	371.0284423828125
66	367.70623779296875	365.5758361816406
67	366.8175048828125	365.8996276855469
68	366.5438537597656	362.5533447265625
69	366.224365234375	363.4489440917969
70	366.05999755859375	363.8576354980469
71	365.8139953613281	361.3404846191406
72	364.5586853027344	372.0581970214844
73	365.0069274902344	358.9950256347656
74	364.5807189941406	364.5157470703125
75	363.1918029785156	374.3632507324219
76	363.608642578125	361.98211669921875
77	362.966552734375	366.1944274902344
78	362.3912353515625	365.4793701171875
79	362.00469970703125	361.3981628417969
80	362.0773620605469	354.80401611328125
81	361.07135009765625	366.4681701660156
82	361.162353515625	361.3435363769531
83	361.3839416503906	358.3388671875
84	360.2387390136719	358.6410827636719
85	359.4613342285156	366.495849609375
86	358.4237365722656	364.68939208984375
87	357.7187805175781	352.19384765625
88	357.444580078125	358.57952880859375
89	357.69293212890625	356.12152099609375
90	356.32177734375	352.94195556640625
91	355.8458557128906	362.3575134277344
92	355.1175537109375	353.8479919433594
93	354.35595703125	357.0275573730469
94	354.4799499511719	360.907470703125
95	353.6419372558594	354.8314208984375
96	353.6888732910156	347.2914733886719
97	352.7706604003906	351.6347351074219
98	352.7497863769531	350.3324890136719
99	352.1534118652344	355.6380615234375
100	350.8411865234375	353.9787902832031
